symbol,field_name,page,reason,decision
000027,bonds_payable,170,current_component_not_noncurrent,review_required
000027,bonds_payable,173,year_parsed_as_amount,review_required
000027,bonds_payable,220,maturity_bucket_not_carrying_total,review_required
000027,bonds_payable,221,prior_period_maturity_bucket,review_required
000027,cash,134,year_parsed_as_amount,review_required
000027,cash,202,cash_component_not_total,review_required
000027,cash,209,acquiree_not_consolidated_group,review_required
000027,current_portion_long_term_debt,170,year_parsed_as_amount,review_required
000027,current_portion_long_term_debt,220,maturity_cashflow_not_carrying_total,review_required
000027,current_portion_long_term_debt,221,prior_period_maturity_cashflow,review_required
000027,long_term_borrowings,170,current_component_not_noncurrent,review_required
000027,long_term_borrowings,172,year_parsed_as_amount,review_required
000027,long_term_borrowings,220,maturity_bucket_not_carrying_total,review_required
000027,long_term_borrowings,221,prior_period_maturity_bucket,review_required
000027,short_term_borrowings,221,prior_period_maturity_cashflow,review_required
000049,operating_cost,40,parent_not_consolidated,review_required
000065,cash,82,cash_component_not_total,review_required
000065,cash,104,restricted_cash_not_total,review_required
000065,cash,117,foreign_currency_subset,review_required
000065,long_term_borrowings,107,current_component_not_noncurrent,review_required
000065,long_term_borrowings,108,reclassification_deduction_not_balance,review_required
000065,long_term_borrowings,117,foreign_currency_subset,review_required
000088,cash,103,cash_component_not_total,review_required
000088,cash,120,truncated_amount_and_restricted_subset,review_required
000088,current_portion_long_term_debt,125,lease_reclassification_not_total,review_required
000088,long_term_borrowings,123,current_component_not_noncurrent,review_required
000301,operating_cost,70,parent_not_consolidated,review_required
000422,operating_cost,60,parent_not_consolidated,review_required
000429,operating_cost,41,parent_not_consolidated,review_required
000550,cash,59,year_parsed_as_amount,review_required
000550,current_portion_long_term_debt,83,year_parsed_as_amount,review_required
000550,long_term_borrowings,83,year_parsed_as_amount,review_required
000550,long_term_borrowings,119,current_component_not_noncurrent,review_required
000550,long_term_borrowings,121,maturity_bucket_not_carrying_total,review_required
000550,short_term_borrowings,80,year_parsed_as_amount,review_required
000568,cash,76,cash_component_not_total,review_required
000568,cash,96,truncated_amount_and_restricted_subset,review_required
000568,cash,111,cash_component_not_total,review_required
000568,cash,112,cash_component_not_total,review_required
000568,long_term_borrowings,100,current_component_not_noncurrent,review_required
000568,short_term_borrowings,110,truncated_amount_in_movement_table,review_required
000630,operating_cost,70,parent_not_consolidated,review_required
000680,cash,94,cash_component_not_total,review_required
000680,cash,122,restricted_cash_not_total,review_required
000680,cash,141,cash_component_not_total,review_required
000680,long_term_borrowings,126,current_component_not_noncurrent,review_required
000680,long_term_borrowings,127,reclassification_deduction_not_balance,review_required
000680,short_term_borrowings,140,opening_balance_not_closing,review_required
000680,short_term_borrowings,143,foreign_currency_subset,review_required
000682,operating_cost,48,parent_not_consolidated,review_required
000700,operating_cost,47,parent_not_consolidated,review_required
000703,bonds_payable,198,current_component_not_noncurrent,review_required
000703,cash,169,cash_component_not_total,review_required
000703,cash,194,restricted_cash_not_total,review_required
000703,cash,214,financing_flow_not_cash_balance,review_required
000703,cash,217,cash_component_not_total,review_required
000703,cash,224,acquiree_not_consolidated_group,review_required
000703,long_term_borrowings,198,current_component_not_noncurrent,review_required
000703,short_term_borrowings,218,supplier_financing_subset,review_required
000708,bonds_payable,121,current_component_not_noncurrent,review_required
000708,cash,145,foreign_currency_subset,review_required
000708,cash,146,prior_period_foreign_currency_subset,review_required
000708,current_portion_long_term_debt,122,bond_reclassification_not_total,review_required
000708,current_portion_long_term_debt,124,lease_reclassification_not_total,review_required
000708,long_term_borrowings,121,current_component_not_noncurrent,review_required
000708,short_term_borrowings,145,foreign_currency_subset,review_required
000708,short_term_borrowings,146,prior_period_foreign_currency_subset,review_required
000729,cash,84,cash_component_not_total,review_required
000729,cash,103,restricted_cash_not_total,review_required
000729,cash,115,cash_component_not_total,review_required
000729,cash,124,ten_thousand_scale_not_applied,review_required
000729,current_portion_long_term_debt,125,prior_period_maturity_cashflow,review_required
000729,long_term_borrowings,106,current_component_not_noncurrent,review_required
000729,long_term_borrowings,124,current_component_and_wrong_scale,review_required
000729,short_term_borrowings,124,ten_thousand_scale_not_applied,review_required
000733,operating_cost,54,parent_not_consolidated,review_required
000786,cash,105,cash_component_not_total,review_required
000786,cash,140,restricted_cash_not_total,review_required
000786,cash,160,restricted_cash_not_total,review_required
000786,cash,161,foreign_currency_subset,review_required
000786,cash,165,acquiree_not_consolidated_group,review_required
000786,cash,176,opening_balance_not_closing,review_required
000786,cash,207,segment_not_group_total,review_required
000786,current_portion_long_term_debt,178,prior_period_maturity_cashflow,review_required
000786,long_term_borrowings,145,current_component_not_noncurrent,review_required
000786,long_term_borrowings,177,opening_balance_not_closing,review_required
000786,long_term_borrowings,178,prior_period_maturity_bucket,review_required
000786,long_term_borrowings,208,segment_not_group_total,review_required
000786,short_term_borrowings,158,opening_balance_not_closing,review_required
000786,short_term_borrowings,208,segment_not_group_total,review_required
